TITLE,COMPANY,SALARY,Gender Identity / Ethnicity,YEARS OF EXPERIENCE,LOCATION,JOB DUTIES,PREV SALARIES/TITLES/ETC
Associate Editor,Toronto Storeys,"$50,000 ",White + Non-Binary,3,Toronto,write/edit/assign stories,
Junior Reporter,Toronto Sun ,"71,000",Cis-het Jewish male,4,Toronto,pnts,Bnai Brith Canada
Reporter,TorStar,"$46,000 (CAD)",Female POC,5,Edmonton,"report/write daily news and enterprise, oversee analytics","$55,000 at CBC, reporter/ cover daily news for TV, radio and web. Freelancing before that for $70 for a 600 or longer piece and $40 for a 300 - 500 piece. "
Advertorial,Torstar,"36,000",POC ,2,Canada,write and edit advertorial content for all local papers and magazines ,freelance 
Senior Staff Writer,TrackRecord (Gizmodo Media Group),"$70,000 ",Cis / Black ,4,New York City,Writing a few blog posts a day and a desire to do bigger features but that never quite materialized. ,"(This was in 2017, my last full time media job. 2016: MTV News Staff Writer - $55,000 (Contractor, so no health care or benefits) / 2015: Part time at Live Nation TV ($150 a day for 2 days a week) and Inverse ($150 a day for 3 days a week) "
Managing Editor,Trade Journal,"$51,000 ",Cis White Female,4,Chicago,"Writing, editing, reporting, social media, influencer marketing, copywriting sponsored content",None (first job out of college)
Senior Editor,Trade Magazine,65000,Male ,20,"Houston, Texas","Daily reporting, international travel, advertising sales support","$80,000 Editor-in-Chief"
Editorial Assistant,trade magazine,"51,000",CIS white female,3,New England,,
Writer/Editor,Trade Magazine & Website (too small to name without identifying myself) / remote,"86,000",female/white,20,San Francisco Bay Area,"Writing, editing news and feature stories, etc.","Staff Writer, Producer, Duty Editor, Correspondent"
Tech Reporter,Trade pub covering banking in Asia,26500 HKD,cis woman / chinese,1,Hong Kong,drive tech beat; moderate company events; bring in tech companies' business/sponsorship for the company,
Reporter,Trade Publication,"70,000",Non-binary/White,7,"Washington, D.C.","Reporting, editing","Editorial position starting at $36k, reporting gigs at $47k and $52k, previous nonprofit jobs at $35k"
Senior Staff Writer,Trade Publication,"$50,000 ",Cis White Gay Male,8,Greater Philadelphia Area,"Produce short-form web and print content, write one heavily researched cover story (3000+ words) per month, provide on-the-ground conference coverage as needed (typically 3-5 conferences per year)","Started as a staff reporter making $38,000/year. Promoted to staff writer with raise to $43,000/year. Current title and rate of pay after being with the company for 7 years."
Senior Reporter,Trade publication ,"$80,000 ",Cis queer white male,7,NYC,"Write daily reported beat stories, and longer features.",Staff writer at a tech pub: $75k
Editorial Associate,Trade publication/National association,"$46,000 ",Cis white woman,2,DC/Baltimore Metro Area,"Weekly newsletter articles, write monthly features, edit monthly magazine, design surveys for in-house research, edit in-house text books, manage newsletter for sister organization, manage Twitter account, travel bi-yearly to national conferences to cover.","Arts Editor at alt weekly in upstate NY, $11 an hour @ 20 hours a week."
Senior Editor,Trade Publishing Company,65k,cis multi-racial woman,10,NY,,"30k @ assistant editor, 35k @desk editor, 53,500k @ associate managing editor, 70k @ managing editor"
Reporter,Tribune,42000,cis white female,7.5,Virginia,daily and enterprise reporting covering local school districts,"reporter at BH Media (35k), fellowship at nonprofit (39k)"
Reporter,Tribune,"50,000",cis female white,3,Orlando,"Report on breaking news and criminal justice, working on dailies and enterprise stories for a daily newspaper. Beat reporter for certain law enforcement agencies and jurisdictions. ","Crime/Criminal Justice/breaking news reporting in Baton Rouge for 3 years, 39k-44k"
Reporter,Tribune Publishing,"$33,500 ","white, bi, cis man",2,"Hampton Roads, Virginia",General assignment reporter with a 5-days-a-week cops shift.,Entry-level job. Non-journalism bachelor's degree & editor-in-chief of major state college newspaper. Previously intern ($10/hr).
Assistant digital editor,Tribune Publishing,"$35,000 ",white genderqueer,1,Chicago,"Social media, pitching and editing digital stories, also pitching long-form features for monthly print magazine",
Staff Writer,Tribune Publishing,"$35,000 ",Cis white male,6,Hampton Roads,"Writing, editing, and shooting photos for a weekly business journal. Attending events, developing sources, operating a content management system. ","$25,000, staff writer, Southside Virginia daily with BH Media
$22,000, sports reporter and designer, community weekly in Georgia"
Print Production Specialist ,Tribune Publishing,"$42,000 before tax",female/white,8,Chicago,"design and edit copy for Chicago Tribune, Baltimore Sun, Hartford Courant, Orlando Sentinel, Sun Sentinel","32,000 // Editor/designer // 38,000 Editor / designer"
Designer/editor,Tribune Publishing,"51,000","bi female, white",9,"Chicago, IL",Designing and editing for print,"Previously $35,000 to design at another hub"
Senior Photo Editor,Tribune Publishing,"770,000",Male/Hispanic,30,Florida,"Photo editor, photo assignments, managing photo department ","65,000"
Editor/Designer,Tribune Publishing,"$53,000 ",Cis straight white female,30,Chicago,"Source edit, copy edit, page design for print publications across Tribune Publishing","$80,000+ / section editor at major metro paper"
Homepage/social media editor,Tribune Publishing -- Chicago Tribune,"$51,000 ",Male / White,8,Chicago,"Edit homepage, post on institutional social accounts, cover breaking news, work with reporting teams to prepare projects for online success",
Reporter,Tribune Publishing newspaper,"52,000",White cishet male,2,,,
Senior Interactive Producer,Tribune TV affiliate  (before sale to Nexstar),"$51,000 ",white-cis-female,10,"Richmond, Va","content, independent reporting, minimal video editing, drone operation, social media channels, field producing","Started position at $36,000 in 2012, ended at $51,000 in 2018. Master's degree."
Reporter,Tribune/ The Virginian-Pilot,"$40,800 ",White male,6.5,"Norfolk, VA",City Hall reporter,
Digital Producer (part time),Tribute affiliate station,11.70/hr,White female,0,Midwest,"Manage station social pages, write up reporter packages for website, manage website","n/a, this was an entry-level position"
Editor in Chief,TripAdvisor Media Company,"110,000",Female,15,"Ewing, NJ","editing, writing, management team",
Web Producer/ Assignment Editor,TV Top 10 market,$20/ hr,Cis white male,2,SF,"Posting reporter's stories, as well as my own write ups to the website. Working the assignment desk.",Freelancer $250/ article
Reporter,U.S. News,"$54,000 ",Cis white female,3,DC,Reporting a mix of daily news and enterprise stories,starting salary is $48k
Staff writer,U.S. News,"$48,000 ","female, white",1.5,D.C. ,Report/write 2-7 stories/week  ,
Senior Writer,U.S. News & World Report,"89,000",Female/White,12,"Washington, DC",Print reporting,
Global Media Manager,Universal McCann,"85,000",Female/ Black,5,New York,"Account Management, Media Planning",
Editorial Production Assistant ,University ,"$48,000 ",Cis woman/East Asian,2,"Boston, MA","University calendar management, story production (layout, copy editing, photo selection, SEO headlines, heds/deks/summaries) via Wordpress, newsletter assembly (as needed), occasional writing/reporting, managing additional side projects (as needed)","2.5 years of post-college experience; 3.5 years of in-college experience
First ""real job"" post-college: Digital content coordinator (~$35,000/yr)
Current side gig: Freelancer for various publications ($600-$800/article) 
In between graduation and first job: Freelancer for Gatehouse media (~$50/article)
In college: Contributing writer ($50-$75/article)"
Program Director,University Licensed NPR Radio Station,"$91,000 USD annually",cis white male,25,Southeast Michigan,,
Science Writer / Tech Marketing Associate,University of Pittsburgh,36000,Cis/female/white,2,Pittsburgh,"Science writing, editing, database maintenance, marketing outreach",Would like to add: generous tuition benefit; Pitt listed salary range as 29-43k.
Investigative Multimedia Producer + Reporter,Univision 2014-2015,"$75,000 + full benefits, 401k",White,10,Miami / international assignments,"Producing, research, reporting on camera, editing, etc. ",Freelance 
Deputy Entertainment Editor,Uproxx,"85,000",Cis White Female,10,SouthEast USA,"Managing freelancers, running editorial calendar, editing, writing","Other companies: Content Writer ($35k - $45k), Senior Editor ($70k)"
Senior Writer,US News and World Report,"80,000",Male/White,11,"Washington, DC","Print reporting, some broadcast, a little editing",
Reporter,USA TODAY,"84,000",cis white male,8,Remote,Writing and reporting on national sports stories,Online producer and writer in a major market - $36K 
Reporter,USA Today,"77,000",cis white woman,6,,,
Deputy section editor,USA TODAY ,"$125,000 ",White cis female,10,Remote,"Editing, planning, strategy",
Senior Video Producer,USA Today/Reviewed,"$50,000 ",cis-het white male,10+ years,Boston,"Shooting, editing, posting and managing video library and equipment","$25k - Production asst/Part time editor @ Gannett/WZZM13 Aug 2007
$30k - Videographer and 6pm/11pm news editor @ Gannett/WZZM13 2009
$40k - Video produer starting salary @ Gannett/Reviewed Nov 2011"
Editor,USA Today/Reviewed,"$50,500 ",cis white woman,2+,Boston,"Editing features and reviews, assigning articles, content planning, writing, testing",N/A
Editor,USA Today/Reviewed,"$50,500 ",cis white male,7+ years,Remote,"Managing writers/freelancers, editing, writing, photography, product testing, content planning, loan relationships, testing methodology, section planning","Started at $28k + bonus in 2012 as staff writer, promoted to senior staff writer in 2014, promoted to Editor in 2017"
Video Production Manager,USA Today/Reviewed,"62,000 (in 2018)",cis white male,10,Boston,"Manage media team; produce, shoot, edit video; oversee media scheduling; develop photo/video strategy","45,000 (staff writer/video producer in 2008); 55,000  (video manager in 2014); left media industry in 2018"
Editor,Valnet,30000,"Cis female, white",8,Montreal,Writing/editing,N/A
Freelance producer/shooter/editor,various national news outlets ,$500 per day,White Male,20,New York,"producing, shooting, & editing news packages of various length",
Freelance Writer and Editor,"Various, non-profit, for-profit, and venture-funded startup",$50/hour,Female,8,SF Bay Area,"Pitch, assign, edit, and publish articles online. All production, photo research, and SEO are also done by me.","Contract fact checker at a Time Inc. Mag: $12/hour; Contract digital producer at a Time Inc. Mag: $20/hour; Temp. Digital Editor at a Time Inc. Mag: $22/hour. Full time writer and producer at a (defunct) ed. tech startup: $45,000-72,000/year"
